date_time,starting_diameter_in,passes,line_speed_fpm,oven_hot_length_ft,oven_top_F,oven_mid_F,oven_bot_F,annealer_height_ft,annealer_temp_F,payoff_type,payoff_tension_lb,pred_final_od_in,actual_final_od_in,A_used,B_used,kA_used,kB_used,notes
,0.0129,15,15.0,6.0,250.0,350.0,600.0,8.0,680.0,Large,0.4,,0.0126,,,,,
,0.0065,7,18.0,6.0,300.0,500.0,700.0,8.0,700.0,Large,0.06,,0.0062,,,,,
,0.0183,18,18.0,6.0,325.0,525.0,725.0,8.0,715.0,Large,0.3,,0.01775,,,,,
,0.0113,10,25.0,6.0,350.0,575.0,700.0,8.0,735.0,Large,0.5,,0.01105,,,,,
,0.0285,12,15.0,12.0,300.0,550.0,700.0,8.0,800.0,Large,2.0,,0.028,,,,,
,0.0366,21,12.0,12.0,300.0,500.0,700.0,8.0,840.0,Large,3.0,,0.036,,,,,
,0.0335,10,15.0,12.0,300.0,450.0,750.0,8.0,800.0,Large,2.5,,0.0325,,,,,
,0.0655,12,8.0,12.0,300.0,500.0,750.0,8.0,990.0,Large,6.0,,0.0646,,,,,
,0.0435,25,12.0,12.0,300.0,450.0,750.0,8.0,930.0,Large,4.0,,0.0429,,,,,
,0.048,25,15.0,12.0,300.0,450.0,650.0,14.0,725.0,Large,2.8,,0.047,,,,,
,0.0415,10,10.0,12.0,300.0,500.0,700.0,14.0,785.0,Large,3.0,,0.0411,,,,,
,0.0338,8,25.0,12.0,300.0,550.0,750.0,14.0,840.0,Large,3.0,,0.0332,,,,,
,0.0559,25,15.0,12.0,325.0,500.0,700.0,14.0,825.0,Large,3.0,,0.055,,,,,
,0.0823,30,10.0,12.0,325.0,525.0,700.0,14.0,820.0,22 inch spool,10.0,,0.0806,,,,,
,0.0595,15,12.0,12.0,325.0,500.0,750.0,14.0,780.0,22 inch spool,4.0,,0.0588,,,,,
,0.0512,30,15.0,12.0,350.0,450.0,725.0,14.0,825.0,22 inch spool,10.0,,0.0509,,,,,
,0.0609,15,10.0,12.0,300.0,450.0,700.0,14.0,750.0,22 inch spool,4.0,,0.0601,,,,,
2025-09-25 14:46:06,0.0407,35,15.0,12.0,750.0,450.0,325.0,14.0,750.0,Large,3.0,0.0400586306959841,0.0392,4.690702e-09,9.203616e-12,0.0,0.0,
2025-10-07 17:16:13,0.0395,22,18.0,12.0,330.0,550.0,750.0,14.0,850.0,"22"" Spool",3.0,0.03854957000513877,0.0386,4.052425e-09,6.082631e-11,0.0,0.0,
